"Task","Role","Hours","Rate/Hour","Total Cost"
"Conduct Migration Readiness Assessment (MRA) - gather VLAN topology, firewall rules, VM inventory, and storage baseline from HigherTech","Business Analyst","16","85","1360.00"
"Design VMware HCX network architecture including Layer 2 extension strategy, gateway swing mechanism, and stretched subnet limits","SW Architect","24","220","5280.00"
"Validate end-to-end network connectivity - verify Direct Connect latency (<250ms), MTU 9001 support, and packet fragmentation testing","DevOps Engineer","12","180","2160.00"
"Audit and translate NSX-v firewall rules to NSX-T format; perform East-West traffic analysis to prevent accidental port exposure","SW Architect","20","220","4400.00"
"Provision and configure VMware Cloud on AWS SDDC in US-West-2 region with vCenter, NSX-T, and vSAN","DevOps Engineer","32","180","5760.00"
"Deploy and configure VMware HCX connectors (on-premises and cloud-side) with Layer 2 Network Extension and bulk migration capabilities","DevOps Engineer","28","180","5040.00"
"Set up Amazon FSx for NetApp ONTAP NFS datastore integration with VMC cluster and configure storage tiering policies","DevOps Engineer","20","180","3600.00"
"Develop pre-migration cleanup plan - identify and delete old snapshots, zombie VMDKs, and unused storage to reduce bloat","Business Analyst","12","85","1020.00"
"Create and validate migration runbooks for Pilot Wave including bulk migration procedures, vMotion workflows, and rollback procedures","SW Architect","24","220","5280.00"
"Execute Pilot Wave migration of 10 non-critical VMs using bulk migration and live vMotion; monitor performance and validate IP preservation","DevOps Engineer","40","180","7200.00"
"Conduct post-Pilot Wave testing - smoke tests, application functionality validation, monitoring/backup tool verification, and performance baseline establishment","QA Engineer","48","100","4800.00"
"Inventory legacy host-level plugins and backup agents; identify AWS-compatible replacements and create migration plan","Business Analyst","16","85","1360.00"
"Develop staff training materials and conduct operational transition training on VMC CloudAdmin model, AWS tools, and new runbooks","Business Analyst","20","85","1700.00"
"Coordinate licensing review with AWS specialist; validate BYOL benefits and optimize VMware licensing model for cost efficiency","Project Manager","12","180","2160.00"
"Create detailed full migration roadmap post-Pilot Wave including wave schedules, resource allocation, risk mitigation, and Q2 2026 deadline tracking","Project Manager","20","180","3600.00"
"Establish monitoring dashboards in CloudWatch, configure AWS Backup automation, and set up VPC Flow Logs for ongoing compliance audit","DevOps Engineer","16","180","2880.00"
"","","","",""
"Total Hours","","360","",""
"Total Cost","","","","57600.00"
"Timeline (weeks)","","9","",""
